rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/approx_kl,train/clip_range,train/entropy_loss,train/learning_rate,train/clip_fraction,train/loss,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/value_loss
9000.0,85,618,2176000,3517,-5903088.97162251,1.2254809e-07,0.2,-1.0904996559619904,2.35488e-05,0.0,138310576.0,840,-9.661716991104186e-06,0.0,246749254.048
9000.0,86,604,2201600,3643,-5883975.843651909,1.5975907e-07,0.2,-1.088913271009922,2.3472e-05,0.0,79578840.0,850,-1.0343204718083144e-05,0.0,175766065.92
9000.0,87,607,2227200,3665,-5870086.727728031,7.436844e-08,0.2,-1.0922939196825028,2.33952e-05,0.0,126487688.0,860,-6.064257060643285e-06,1.1920928955078125e-07,235340604.32
9000.0,88,611,2252800,3686,-5862166.01043061,7.818919e-08,0.2,-1.0986707516908645,2.33184e-05,0.0,127126608.0,870,-6.149398512206971e-06,-2.384185791015625e-07,242795176.064
9000.0,89,614,2278400,3708,-5873081.936112669,9.221025e-08,0.2,-1.0831577777862549,2.3241599999999998e-05,0.0,122780760.0,880,-7.86569609772414e-06,0.0,256482360.848
9000.0,90,617,2304000,3730,-5847977.70488109,4.3283215e-08,0.2,-1.0942698394060135,2.31648e-05,0.0,118693592.0,890,-4.3326406739652155e-06,1.1920928955078125e-07,267904586.0
9000.0,91,604,2329600,3856,-5853876.4863370005,9.823125e-08,0.2,-1.0923374734520912,2.3088000000000003e-05,0.0,133779184.0,900,-7.896701688878238e-06,0.0,253761764.672
9000.0,92,607,2355200,3877,-5840314.43562217,1.4407327e-07,0.2,-1.07385060608387,2.3011199999999997e-05,0.0,138999328.0,910,-1.093684195075184e-05,0.0,225119629.664
9000.0,93,610,2380800,3899,-5844821.68023685,8.6375515e-08,0.2,-1.0962932311296463,2.2934400000000002e-05,0.0,130904128.0,920,-6.558953551575542e-06,1.1920928955078125e-07,237799004.656
9000.0,94,613,2406400,3921,-5849899.36166025,3.7993303e-08,0.2,-1.0839444140195846,2.28576e-05,0.0,142455296.0,930,-3.85013734921813e-06,0.0,273575776.144
9000.0,95,616,2432000,3943,-5843710.35917618,9.3423296e-08,0.2,-1.0848743369579315,2.27808e-05,0.0,114747024.0,940,-8.039617212489246e-06,1.7881393432617188e-07,243715333.264
9000.0,96,604,2457600,4068,-5827846.46836133,9.0531536e-08,0.2,-1.0871375700831414,2.2704e-05,0.0,135804592.0,950,-6.8406810169108215e-06,1.1920928955078125e-07,225238966.24
9000.0,97,607,2483200,4090,-5824773.90167924,9.268755e-08,0.2,-1.0789178540110589,2.2627200000000003e-05,0.0,132270944.0,960,-7.470749318599701e-06,0.0,230694762.32
9000.0,98,610,2508800,4112,-5794789.423623331,6.6466164e-08,0.2,-1.0811662737131118,2.25504e-05,0.0,134405168.0,970,-5.958581692539155e-06,1.1920928955078125e-07,260389229.488
9000.0,99,613,2534400,4134,-5792858.379473451,1.19037e-07,0.2,-1.0731578570604325,2.24736e-05,0.0,89358376.0,980,-8.771391934715212e-06,0.0,175819120.896
9000.0,100,616,2560000,4155,-5770755.43002758,9.140698e-08,0.2,-1.0840932108163834,2.2396800000000002e-05,0.0,90582336.0,990,-7.5288127409294246e-06,0.0,219821406.832
9000.0,101,603,2585600,4281,-5759296.03579172,6.499235e-08,0.2,-1.1009570174217225,2.232e-05,0.0,134825776.0,1000,-4.8764020903036e-06,0.0,233220848.816
9000.0,102,606,2611200,4304,-5762076.6071337,1.1117896e-07,0.2,-1.083285299360752,2.22432e-05,0.0,138724208.0,1010,-1.0120970429852605e-05,1.1920928955078125e-07,242801773.072
9000.0,103,609,2636800,4326,-5766088.437767961,9.200303e-08,0.2,-1.0955549248456955,2.21664e-05,0.0,134833408.0,1020,-7.852028589695692e-06,1.1920928955078125e-07,276442474.592
9000.0,104,612,2662400,4348,-5756715.1563429795,1.2184027e-07,0.2,-1.0893527842760087,2.20896e-05,0.0,98847864.0,1030,-9.981079259887338e-06,0.0,218071158.736
9000.0,105,614,2688000,4370,-5739237.912451919,1.8682796e-07,0.2,-1.0786994882822036,2.20128e-05,0.0,87328416.0,1040,-1.2888235156424343e-05,1.7881393432617188e-07,199515956.528
9000.0,106,602,2713600,4502,-5738658.972402239,7.7176374e-08,0.2,-1.092105516731739,2.1936e-05,0.0,95576936.0,1050,-6.418128148652613e-06,0.0,214444294.032
9000.0,107,605,2739200,4524,-5728203.863441961,7.046154e-08,0.2,-1.0907882348299027,2.18592e-05,0.0,103704896.0,1060,-5.760454514529556e-06,0.0,217789841.68
9000.0,108,608,2764800,4546,-5727389.2471581185,5.0175004e-08,0.2,-1.0921340864896774,2.1782400000000003e-05,0.0,109722512.0,1070,-4.937656223773956e-06,0.0,257122563.296
9000.0,109,610,2790400,4567,-5714037.07352206,6.6854994e-08,0.2,-1.0870794743299483,2.1705599999999998e-05,0.0,127970904.0,1080,-5.540494923479855e-06,0.0,247540947.68
9000.0,110,613,2816000,4589,-5710449.8098825,1.02513006e-07,0.2,-1.0935549173355104,2.1628800000000002e-05,0.0,108605584.0,1090,-8.638146682642401e-06,-1.1920928955078125e-07,230001592.736
9000.0,111,602,2841600,4715,-5710013.003800029,7.1811954e-08,0.2,-1.0733019399642945,2.1552e-05,0.0,100783056.0,1100,-6.071880459785461e-06,-1.1920928955078125e-07,249349799.248
9000.0,112,605,2867200,4737,-5684822.36882774,1.0225224e-07,0.2,-1.0912171074748038,2.14752e-05,0.0,116577896.0,1110,-8.68464697850868e-06,0.0,210936625.888
