         388408497 function calls (387113178 primitive calls) in 354.312 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.169    0.024 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\keras\src\layers\layer.py:237(__init__)
    11179    0.085    0.000    0.169    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\framework\ops.py:947(_NodeDef)
     1203    0.019    0.000    0.169    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\data\util\structure.py:70(normalize_element)
  920/894    0.002    0.000    0.167    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\trackable\data_structures.py:86(wrap_or_unwrap)
        1    0.000    0.000    0.166    0.166 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\keras\src\ops\function.py:45(__init__)
        1    0.000    0.000    0.165    0.165 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\keras\src\models\model.py:146(__init__)
        7    0.000    0.000    0.165    0.024 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\keras\src\ops\operation.py:17(__init__)
       15    0.000    0.000    0.164    0.011 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\trackable\data_structures.py:468(__init__)
       15    0.000    0.000    0.164    0.011 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\trackable\data_structures.py:363(__init__)
    76994    0.137    0.000    0.164    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\framework\dtypes.py:264(__eq__)
       15    0.163    0.011    0.163    0.011 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\trackable\data_structures.py:529(_make_storage)
     3560    0.031    0.000    0.160    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\core\function\polymorphism\function_type.py:262(bind_with_defaults)
     7234    0.015    0.000    0.157    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\framework\ops.py:5566(__enter__)
    10712    0.019    0.000    0.151    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\framework\ops.py:255(__new__)
