rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/loss,train/value_loss,train/n_updates,train/learning_rate,train/approx_kl,train/clip_range,train/entropy_loss
-4324118.22411477,2483200,4770,9000.0,520,97,-5.93630236107856e-06,0.0,0.0,97405120.0,154824367.544,960,2.2627200000000003e-05,7.60844e-08,0.2,-1.073288987159729
-4320705.192597699,2508800,4794,9000.0,523,98,-9.74906177725643e-06,0.0,5.960464477539063e-08,60481684.0,132438531.928,970,2.25504e-05,1.3629673e-07,0.2,-1.0623609336614608
-4315977.02323506,2534400,4817,9000.0,526,99,-5.311870481818915e-06,0.0,0.0,53972540.0,115256018.144,980,2.24736e-05,6.770948e-08,0.2,-1.0605129090547563
-4313840.07777512,2560000,4841,9000.0,528,100,-4.9281258834525945e-06,0.0,5.960464477539063e-08,61780872.0,126832936.288,990,2.2396800000000002e-05,6.3467304e-08,0.2,-1.075052447617054
-4311658.57590484,2585600,4980,9000.0,519,101,-4.986577201634646e-06,0.0,0.0,75333824.0,133669524.456,1000,2.232e-05,5.4023694e-08,0.2,-1.0712317999601364
-4308000.41332771,2611200,5004,9000.0,521,102,-4.964304156601429e-06,0.0,-1.1920928955078125e-07,62225968.0,136197108.904,1010,2.22432e-05,6.109476e-08,0.2,-1.0711352477669716
-4319749.03167012,2636800,5027,9000.0,524,103,-6.673255003988743e-06,0.0,0.0,69975704.0,145227553.672,1020,2.21664e-05,7.896917e-08,0.2,-1.0770323045849801
-4318781.73059216,2662400,5050,9000.0,527,104,-3.5835437593050302e-06,0.0,0.0,75632496.0,163610858.656,1030,2.20896e-05,3.3944378e-08,0.2,-1.0685552119016648
-4300032.508217091,2688000,5074,9000.0,529,105,-4.466417478397488e-06,0.0,-1.1920928955078125e-07,65491296.0,114570770.216,1040,2.20128e-05,6.811693e-08,0.2,-1.052373785853386
-4291302.546618271,2713600,5213,9000.0,520,106,-5.753392120823264e-06,0.0,-1.1920928955078125e-07,43564096.0,103146439.104,1050,2.1936e-05,8.341623e-08,0.2,-1.0798994304537772
-4280745.04583468,2739200,5237,9000.0,523,107,-3.5422412329353393e-06,0.0,0.0,68105920.0,129675751.712,1060,2.18592e-05,4.244037e-08,0.2,-1.0697900846600532
-4277900.29049789,2764800,5260,9000.0,525,108,-6.0882532852701845e-06,0.0,0.0,77268496.0,128685825.656,1070,2.1782400000000003e-05,7.5676944e-08,0.2,-1.0770636249184609
-4270433.13088334,2790400,5284,9000.0,528,109,-5.815225886180997e-06,0.0,-1.1920928955078125e-07,88354072.0,150301194.624,1080,2.1705599999999998e-05,7.319264e-08,0.2,-1.0725450859069825
-4276665.391291079,2816000,5307,9000.0,530,110,-7.672679494135082e-06,0.0,-1.1920928955078125e-07,64486640.0,138249198.776,1090,2.1628800000000002e-05,9.612879e-08,0.2,-1.07095210647583
-4279943.59424397,2841600,5446,9000.0,521,111,-5.285825813189149e-06,0.0,-1.1920928955078125e-07,75713904.0,148129178.328,1100,2.1552e-05,5.973736e-08,0.2,-1.0627957140803337
-4276329.283763459,2867200,5469,9000.0,524,112,-5.679996218532324e-06,0.0,-1.1920928955078125e-07,54295832.0,110882923.992,1110,2.14752e-05,8.0175234e-08,0.2,-1.0606854718327523
-4271338.942677639,2892800,5493,9000.0,526,113,-2.6211426593363284e-06,0.0,0.0,75211864.0,134146664.744,1120,2.13984e-05,2.216082e-08,0.2,-1.069192275762558
-4267427.71475119,2918400,5516,9000.0,529,114,-3.5913013853132727e-06,0.0,0.0,66417436.0,131157708.136,1130,2.1321600000000003e-05,4.1231978e-08,0.2,-1.0741604927778243
-4266444.61809342,2944000,5539,9000.0,531,115,-2.869596937671304e-06,0.0,5.960464477539063e-08,61393196.0,132539694.712,1140,2.12448e-05,3.736699e-08,0.2,-1.0690153393149375
-4256078.00553962,2969600,5679,9000.0,522,116,-6.717645563185215e-06,0.0,0.0,72565112.0,151604655.736,1150,2.1168e-05,7.755123e-08,0.2,-1.0762151836156846
-4239750.70488904,2995200,5702,9000.0,525,117,-4.118905344512314e-06,0.0,0.0,68680072.0,144700866.0,1160,2.10912e-05,4.5720952e-08,0.2,-1.0664351865053177
-4238252.2761759795,3020800,5725,9000.0,527,118,-8.857165114022791e-06,0.0,-1.1920928955078125e-07,47427064.0,93935799.816,1170,2.10144e-05,1.3183802e-07,0.2,-1.0514547302126884
-4224222.58890081,3046400,5748,9000.0,529,119,-2.864992362447083e-06,0.0,5.960464477539063e-08,71496072.0,138143328.808,1180,2.09376e-05,3.131572e-08,0.2,-1.0727301427721978
