time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/clip_fraction,rollout/ep_len_mean,train/entropy_loss,train/n_updates,train/learning_rate,train/value_loss,rollout/ep_rew_mean,train/loss,train/clip_range,train/explained_variance,train/approx_kl
349,2854,39,998400,-1.0952965822070837e-06,0.0,25804.342105263157,-0.38817477351427077,380,2.70816e-05,33633358.056,-6711973.178027341,17785002.0,0.2,3.5762786865234375e-07,1.3874378e-08
356,2876,40,1024000,-6.596224848181009e-07,0.0,25805.71794871795,-0.38292151379585265,390,2.70048e-05,35217426.904,-6709733.675060307,18333034.0,0.2,2.980232238769531e-07,5.1851385e-09
329,3186,41,1049600,-1.2155108852311968e-06,0.0,25800.1,-0.38994431874156,400,2.6928e-05,33138168.696,-6699886.369606549,16880502.0,0.2,2.384185791015625e-07,1.175562e-08
335,3207,42,1075200,-1.1564561864361167e-06,0.0,25804.048780487807,-0.39160002529621124,410,2.68512e-05,35809930.454,-6700755.524671731,17658520.0,0.2,0.0,1.3508834e-08
340,3228,43,1100800,-9.872448863461614e-07,0.0,25819.095238095237,-0.37539690038561824,420,2.67744e-05,31662670.98,-6699162.595643927,15097076.0,0.2,2.384185791015625e-07,1.2842938e-08
346,3249,44,1126400,-9.162066271528601e-07,0.0,25825.511627906977,-0.38283019345998764,430,2.6697600000000003e-05,33321095.732,-6698506.389159185,16431467.0,0.2,3.5762786865234375e-07,7.827766e-09
352,3271,45,1152000,-1.954072155058384e-06,0.0,25828.727272727272,-0.3883232401907444,440,2.66208e-05,35440690.178,-6699594.73025609,17603340.0,0.2,0.0,2.5082846e-08
328,3580,46,1177600,-6.039246218279004e-07,0.0,25838.066666666666,-0.3840186868309975,450,2.6544000000000002e-05,39805233.018,-6716340.606853111,19706916.0,0.2,2.980232238769531e-07,1.6205013e-09
334,3602,47,1203200,-1.782591105438769e-06,0.0,25829.239130434784,-0.38889169269800183,460,2.6467200000000003e-05,33715718.316,-6696790.650844216,17358088.0,0.2,2.384185791015625e-07,2.0950102e-08
339,3623,48,1228800,-7.152134203352034e-07,0.0,25823.212765957447,-0.39242281821370123,470,2.63904e-05,29631210.38,-6683529.798863723,14814781.0,0.2,1.1920928955078125e-07,1.06240625e-08
344,3644,49,1254400,-8.878947701305151e-07,0.0,25816.8125,-0.38908162972331045,480,2.63136e-05,30068268.454,-6673410.7397415,14443174.0,0.2,1.7881393432617188e-07,1.2756791e-08
349,3666,50,1280000,-5.437583895400167e-07,0.0,25808.224489795917,-0.39640429213643075,490,2.62368e-05,30374531.444,-6660059.44522653,16285682.0,0.2,1.1920928955078125e-07,4.603062e-09
328,3976,51,1305600,-2.1193883148953318e-06,0.0,25800.44,-0.4013615005016327,500,2.616e-05,28312834.146,-6641023.278494099,16024015.0,0.2,5.960464477539063e-08,3.084075e-08
332,3997,52,1331200,-6.00928207859397e-07,0.0,25806.607843137255,-0.3973232547342777,510,2.60832e-05,31101169.894,-6643050.599884294,16193188.0,0.2,1.7881393432617188e-07,2.4563633e-09
337,4019,53,1356800,-1.2016957043670117e-06,0.0,25810.25,-0.3758471828401089,520,2.60064e-05,32768935.978,-6641333.7738703275,17238982.0,0.2,2.384185791015625e-07,1.4121179e-08
342,4040,54,1382400,-7.565359119325876e-07,0.0,25816.830188679247,-0.3830939801931381,530,2.59296e-05,36784819.71,-6650717.943206849,19410824.0,0.2,0.0,8.931384e-09
346,4061,55,1408000,-7.755639380775392e-07,0.0,25819.814814814814,-0.38022575464844705,540,2.58528e-05,36799491.516,-6651110.859386222,18236204.0,0.2,1.1920928955078125e-07,8.062925e-09
327,4372,56,1433600,-1.4554877998307347e-06,0.0,25820.636363636364,-0.39277683717012407,550,2.5776e-05,34312481.784,-6647863.030766237,17000470.0,0.2,1.1920928955078125e-07,1.6600826e-08
331,4400,57,1459200,-1.6542105004191398e-06,0.0,25837.714285714286,-0.38262319956719876,560,2.5699200000000003e-05,37455125.33,-6666660.984866196,18160834.0,0.2,5.960464477539063e-08,1.846347e-08
335,4422,58,1484800,-1.744903391227126e-06,0.0,25832.64912280702,-0.3776607411503792,570,2.56224e-05,40518287.834,-6668174.2389266845,18984432.0,0.2,1.7881393432617188e-07,2.0256266e-08
339,4443,59,1510400,-4.0381291182711723e-07,0.0,25828.0,-0.38706826528906824,580,2.55456e-05,33948711.824,-6658568.672120225,17592658.0,0.2,0.0,3.487803e-09
344,4465,60,1536000,-3.18137661088258e-06,0.0,25828.694915254237,-0.3952379510104656,590,2.54688e-05,31061831.836,-6654944.060315034,15809581.0,0.2,1.1920928955078125e-07,3.6230777e-08
327,4774,61,1561600,-1.522225677035749e-06,0.0,25823.316666666666,-0.38840304467082026,600,2.5392000000000004e-05,35058952.132,-6655531.140629116,17292528.0,0.2,0.0,1.800945e-08
330,4795,62,1587200,-1.6404154011979699e-06,0.0,25817.311475409835,-0.39339653089642523,610,2.53152e-05,37189137.834,-6654901.451886804,18668200.0,0.2,0.0,1.7452985e-08
334,4816,63,1612800,-1.6902940697036683e-06,0.0,25820.645161290322,-0.392457760900259,620,2.5238400000000002e-05,33449199.022,-6644974.701128678,15239066.0,0.2,1.7881393432617188e-07,2.1394808e-08
338,4838,64,1638400,-1.0738131823018194e-06,0.0,25817.904761904763,-0.3846268851161003,630,2.51616e-05,30239064.708,-6634637.223597555,14461819.0,0.2,1.7881393432617188e-07,1.0889489e-08
342,4859,65,1664000,-1.4348069671541452e-06,0.0,25820.25,-0.3883153795003891,640,2.50848e-05,31080898.194,-6636269.121698624,14155215.0,0.2,1.7881393432617188e-07,1.5792903e-08
326,5169,66,1689600,-4.84320626128465e-07,0.0,25824.707692307693,-0.3828151597678661,650,2.5008000000000002e-05,36585819.302,-6638402.535997292,20147372.0,0.2,0.0,1.785811e-09
330,5190,67,1715200,-8.498370880261064e-07,0.0,25830.530303030304,-0.3797276123464107,660,2.49312e-05,39204862.562,-6654842.48481553,18773854.0,0.2,2.384185791015625e-07,1.6298145e-10
334,5211,68,1740800,-1.0615434730425477e-06,0.0,25830.79104477612,-0.3820956526398659,670,2.48544e-05,42290564.02,-6656017.06445882,22423534.0,0.2,0.0,1.0463409e-08
337,5233,69,1766400,-6.333856726996601e-07,0.0,25837.54411764706,-0.3831157144606113,680,2.47776e-05,36657833.86,-6668480.686489867,19136500.0,0.2,2.384185791015625e-07,4.831236e-09
341,5254,70,1792000,-2.4874997325241567e-07,0.0,25840.17391304348,-0.3804480825960636,690,2.47008e-05,44188948.144,-6677618.591063434,21539438.0,0.2,1.7881393432617188e-07,1.094304e-09
326,5563,71,1817600,-7.204081630334258e-07,0.0,25845.242857142857,-0.3916658417880535,700,2.4624e-05,40065625.69,-6674481.261843228,20077140.0,0.2,1.7881393432617188e-07,2.2863968e-09
330,5584,72,1843200,-1.3679610565304756e-06,0.0,25846.563380281692,-0.37842705491185186,710,2.45472e-05,32538933.412,-6671095.705716436,16778966.0,0.2,1.1920928955078125e-07,1.7592683e-08
333,5605,73,1868800,-8.666209760122001e-07,0.0,25848.125,-0.386073987275362,720,2.44704e-05,33781778.174,-6672823.575026138,18613630.0,0.2,2.384185791015625e-07,9.173528e-09
336,5627,74,1894400,-6.496307905763388e-07,0.0,25847.904109589042,-0.3876955998539925,730,2.4393600000000003e-05,36606471.558,-6674611.417256478,19425866.0,0.2,1.1920928955078125e-07,1.5972182e-09
339,5648,75,1920000,-6.41781953163445e-07,0.0,25852.716216216217,-0.38583777862787244,740,2.43168e-05,38544578.818,-6679995.8381043235,18767696.0,0.2,1.1920928955078125e-07,2.4982727e-09
